Div,Season,Date,HomeTeam,AwayTeam,FTR,outcome,odds,ev,fair_p_open,fair_p_close,win,clv,pnl_gross,pnl_tax,pnl_slip,suspect
SP1,2122,2022-01-23,Granada,Osasuna,A,D,3.2,0.031245162799163895,0.3222641133747387,0.31345425573582997,0.0,0.003053618354655896,-1.0,-1.053,-1.0,False
SP1,2122,2022-01-23,Vallecano,Ath Bilbao,A,D,3.0,0.038296040872304093,0.34609868029076807,0.33059333798413226,0.0,-0.008219986047603212,-1.0,-1.053,-1.0,False
SP1,2324,2024-05-12,Ath Madrid,Celta,H,D,4.75,0.04231467867358685,0.21943466919443932,0.1869825773915328,0.0,-0.11183275739021925,-1.0,-1.053,-1.0,False
,2425,2024-10-27,Getafe,Valencia,D,D,3.1,0.030252991684986297,0.33233967473709236,0.3366885618788148,1.0,0.04373454182432579,2.1,2.047,2.079,False
,2425,2025-05-15,Getafe,Ath Bilbao,A,D,2.75,0.03436826038861551,0.3761339128685875,0.38556156431782623,0.0,0.06029430187402207,-1.0,-1.053,-1.0,False
I1,2021,2021-05-16,Parma,Sassuolo,A,D,4.75,0.030531788069397825,0.21695406064618902,0.19076559429341253,0.0,-0.09386342710629048,-1.0,-1.053,-1.0,False
I1,2122,2022-02-28,Atalanta,Sampdoria,H,D,5.0,0.036416090213902796,0.20728321804278058,0.1948781783839409,0.0,-0.025609108080295595,-1.0,-1.053,-1.0,False
I1,2223,2023-01-04,Udinese,Empoli,D,D,4.2,0.04160397103710389,0.24800094548502474,0.24990776165003442,1.0,0.04961259893014458,3.2,3.1470000000000002,3.168,False
,2425,2024-11-07,Genoa,Como,D,D,3.3,0.04720164277210892,0.31733383114306335,0.3164474669968868,1.0,0.0442766410897264,2.3,2.247,2.2769999999999997,False
,2425,2024-11-10,Monza,Lazio,A,D,3.8,0.044211641876035435,0.27479253733579884,0.28047284516197407,0.0,0.06579681161550144,-1.0,-1.053,-1.0,False
F1,2021,2021-02-03,Paris SG,Nimes,H,D,15.0,0.04940008542018859,0.06996000569467924,0.09633307499844077,0.0,0.44499612497661145,-1.0,-1.053,-1.0,False
F1,2021,2021-02-07,Montpellier,Dijon,H,D,4.0,0.04600319404996056,0.26150079851249014,0.2513490148859905,0.0,0.00539605954396194,-1.0,-1.053,-1.0,False
F1,2122,2021-08-22,Metz,Reims,D,D,3.2,0.04175964533471599,0.32554988916709876,0.30904227257221434,1.0,-0.011064727768914095,2.2,2.1470000000000002,2.178,False
F1,2122,2021-09-25,Paris SG,Montpellier,H,D,8.0,0.05719950202912094,0.13214993775364012,0.09047295636277436,0.0,-0.2762163490978051,-1.0,-1.053,-1.0,False
F1,2122,2021-10-24,Lens,Metz,H,D,4.2,0.037784568649498196,0.2470915639641662,0.20776005054329552,0.0,-0.12740778771815875,-1.0,-1.053,-1.0,False
F1,2122,2021-11-07,Reims,Monaco,D,D,3.6,0.03010695252044515,0.2861408201445681,0.28624960038017194,1.0,0.03049856136861906,2.6,2.547,2.574,False
F1,2122,2022-02-05,St Etienne,Montpellier,H,D,3.4,0.04495993605245907,0.307341157662488,0.2976639858009177,0.0,0.012057551723120064,-1.0,-1.053,-1.0,False
F1,2223,2022-09-04,Clermont,Toulouse,H,D,3.5,0.03571671617692718,0.29591906176483634,0.2873981305052196,0.0,0.00589345676826869,-1.0,-1.053,-1.0,False
,2526,2026-01-04,Paris SG,Paris FC,H,D,7.5,0.06251021637694776,0.1416680288502597,0.09374721716925392,0.0,-0.2968958712305956,-1.0,-1.053,-1.0,False
E0,1920,2019-08-25,Tottenham,Newcastle,A,A,14.0,0.04729553849974444,0.07480682417855318,0.07922958528029753,1.0,0.10921419392416531,13.0,12.947,12.87,False
